_id,tracking_number,carrier,scans[0].timestamp,scans[0].scan,scans[1].timestamp,scans[1].scan,scans[2].timestamp,scans[2].scan,scans[3].timestamp,scans[3].scan,scans[4].timestamp,scans[4].scan,scans[5].timestamp,scans[5].scan,scans[6].timestamp,scans[6].scan,scans[7].timestamp,scans[7].scan,scans[8].timestamp,scans[8].scan,scans[9].timestamp,scans[9].scan,scans[10].timestamp,scans[10].scan,scans[11].timestamp,scans[11].scan,scans[12].timestamp,scans[12].scan,scans[13].timestamp,scans[13].scan,scans[14].timestamp,scans[14].scan,scans[15].timestamp,scans[15].scan,scans[16].timestamp,scans[16].scan,scans[17].timestamp,scans[17].scan,scans[18].timestamp,scans[18].scan,scans[19].timestamp,scans[19].scan,scans[20].timestamp,scans[20].scan,scans[21].timestamp,scans[21].scan,scans[22].timestamp,scans[22].scan,scans[23].timestamp,scans[23].scan,scans[24].timestamp,scans[24].scan,scans[25].timestamp,scans[25].scan,scans[26].timestamp,scans[26].scan,scans[27].timestamp,scans[27].scan,scans[28].timestamp,scans[28].scan,scans[29].timestamp,scans[29].scan,scans[30].timestamp,scans[30].scan,scans[31].timestamp,scans[31].scan,scans[32].timestamp,scans[32].scan,scans[33].timestamp,scans[33].scan,scans[34].timestamp,scans[34].scan,scans[35].timestamp,scans[35].scan,scans[36].timestamp,scans[36].scan,scans[37].timestamp,scans[37].scan,scans[38].timestamp,scans[38].scan,scans[39].timestamp,scans[39].scan,scans[40].timestamp,scans[40].scan,scans[41].timestamp,scans[41].scan,scans[42].timestamp,scans[42].scan,scans[43].timestamp,scans[43].scan,scans[44].timestamp,scans[44].scan,scans[45].timestamp,scans[45].scan,scans[46].timestamp,scans[46].scan,scans[47].timestamp,scans[47].scan,scans[48].timestamp,scans[48].scan,scans[49].timestamp,scans[49].scan,scans[50].timestamp,scans[50].scan,scans[51].timestamp,scans[51].scan,scans[52].timestamp,scans[52].scan,scans[53].timestamp,scans[53].scan,scans[54].timestamp,scans[54].scan,scans[55].timestamp,scans[55].scan
67d7c106380fe7c64399e891,6832977686,a1630cac-f11e-45eb-ba58-de00a0c48748,2024-10-21T15:22:06,returned to sender,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67d7c106380fe7c64399ec52,4968215604,a1630cac-f11e-45eb-ba58-de00a0c48748,2024-10-22T05:55:53,returned to sender,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67d7c106380fe7c64399ef39,1167035833,a1630cac-f11e-45eb-ba58-de00a0c48748,2024-10-18T15:44:16,returned to sender,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67d7c106380fe7c64399fb56,1218378313,a1630cac-f11e-45eb-ba58-de00a0c48748,2024-10-18T22:39:05,returned to sender,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67d7c106380fe7c64399fd24,1151436403,a1630cac-f11e-45eb-ba58-de00a0c48748,2024-10-22T11:20:12,returned to sender,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67d7c106380fe7c64399fdea,6281741966,a1630cac-f11e-45eb-ba58-de00a0c48748,2024-10-30T13:05:37,returned to sender,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67d7c106380fe7c6439a01d3,4194717203,a1630cac-f11e-45eb-ba58-de00a0c48748,2024-10-18T09:12:52,returned to sender,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67d7c109380fe7c6439d4fef,1Z7E524X9998112510,0bb863db-1a5d-4688-8212-a842ab236726,2024-10-01T08:57:31,shipment manifested,2024-10-02T07:34:27,collection scheduled,2024-10-02T12:46:41,shipment collected,2024-10-02T15:26:23,in transit,2024-10-02T18:54:00,in transit,2024-10-02T20:58:00,in transit,2024-10-03T02:15:22,delayed due to circumstances beyond our control - corrective action underway,2024-10-03T18:05:15,in transit,2024-10-04T07:35:00,out for delivery,2024-10-04T11:15:08,returned to sender,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67d7c109380fe7c6439d5064,1Z61A84F9923114059,0bb863db-1a5d-4688-8212-a842ab236726,2024-10-02T00:16:27,shipment manifested,2024-10-02T07:57:56,collection scheduled,2024-10-02T11:35:14,return label left with the receiver,2024-10-03T08:20:41,shipment collected,2024-10-03T17:46:13,in transit,2024-10-03T19:43:00,in transit,2024-10-03T22:45:00,in transit,2024-10-04T07:30:00,carrier error delayed delivery,2024-10-07T02:43:00,out for delivery,2024-10-07T12:34:18,returned to sender,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67d7c109380fe7c6439d506d,1Z7E524X9997515006,0bb863db-1a5d-4688-8212-a842ab236726,2024-10-02T14:10:35,shipment manifested,2024-10-03T08:27:47,collection scheduled,2024-10-03T11:49:47,shipment collected,2024-10-03T16:41:09,in transit,2024-10-03T18:15:00,in transit,2024-10-04T05:30:00,in transit,2024-10-04T10:05:56,delayed due to circumstances beyond our control - corrective action underway,2024-10-07T03:54:10,in transit,2024-10-07T08:25:57,out for delivery,2024-10-07T12:30:35,returned to sender,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
