_id,tracking_number,carrier,scans[0].timestamp,scans[0].scan,scans[1].timestamp,scans[1].scan,scans[2].timestamp,scans[2].scan,scans[3].timestamp,scans[3].scan,scans[4].timestamp,scans[4].scan,scans[5].timestamp,scans[5].scan,scans[6].timestamp,scans[6].scan,scans[7].timestamp,scans[7].scan,scans[8].timestamp,scans[8].scan,scans[9].timestamp,scans[9].scan,scans[10].timestamp,scans[10].scan,scans[11].timestamp,scans[11].scan,scans[12].timestamp,scans[12].scan,scans[13].timestamp,scans[13].scan,scans[14].timestamp,scans[14].scan,scans[15].timestamp,scans[15].scan,scans[16].timestamp,scans[16].scan,scans[17].timestamp,scans[17].scan,scans[18].timestamp,scans[18].scan,scans[19].timestamp,scans[19].scan,scans[20].timestamp,scans[20].scan,scans[21].timestamp,scans[21].scan,scans[22].timestamp,scans[22].scan,scans[23].timestamp,scans[23].scan,scans[24].timestamp,scans[24].scan,scans[25].timestamp,scans[25].scan,scans[26].timestamp,scans[26].scan,scans[27].timestamp,scans[27].scan,scans[28].timestamp,scans[28].scan,scans[29].timestamp,scans[29].scan,scans[30].timestamp,scans[30].scan,scans[31].timestamp,scans[31].scan,scans[32].timestamp,scans[32].scan,scans[33].timestamp,scans[33].scan,scans[34].timestamp,scans[34].scan,scans[35].timestamp,scans[35].scan,scans[36].timestamp,scans[36].scan,scans[37].timestamp,scans[37].scan,scans[38].timestamp,scans[38].scan,scans[39].timestamp,scans[39].scan,scans[40].timestamp,scans[40].scan,scans[41].timestamp,scans[41].scan,scans[42].timestamp,scans[42].scan,scans[43].timestamp,scans[43].scan,scans[44].timestamp,scans[44].scan,scans[45].timestamp,scans[45].scan,scans[46].timestamp,scans[46].scan,scans[47].timestamp,scans[47].scan,scans[48].timestamp,scans[48].scan,scans[49].timestamp,scans[49].scan,scans[50].timestamp,scans[50].scan,scans[51].timestamp,scans[51].scan,scans[52].timestamp,scans[52].scan,scans[53].timestamp,scans[53].scan,scans[54].timestamp,scans[54].scan
67d7c106380fe7c64399c3ca,3265854605,a1630cac-f11e-45eb-ba58-de00a0c48748,2024-10-21T20:24:40,shipment on hold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67d7c106380fe7c64399d898,2776404083,a1630cac-f11e-45eb-ba58-de00a0c48748,2024-10-30T08:14:03,shipment on hold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67d7c106380fe7c64399e306,9815092523,a1630cac-f11e-45eb-ba58-de00a0c48748,2024-10-22T08:31:03,shipment on hold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67d7c106380fe7c64399efb7,1114993795,a1630cac-f11e-45eb-ba58-de00a0c48748,2024-10-27T02:31:20,shipment on hold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67d7c106380fe7c64399f1fb,08df3b0a-96a9-48bc-9c3b-5d38b3d21f75-59496,fede808b-fbf4-449c-8816-41aae5aa62ec,2024-12-23T08:37:00,shipment on hold - awaiting rest of shipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67d7c106380fe7c64399fd5d,2631045421,a1630cac-f11e-45eb-ba58-de00a0c48748,2024-10-18T22:12:53,shipment on hold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67d7c106380fe7c64399fe1f,08df3b0a-96a9-48bc-9c3b-5d38b3d21f75-17031,fede808b-fbf4-449c-8816-41aae5aa62ec,2024-12-23T08:37:00,shipment on hold - awaiting rest of shipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67d7c106380fe7c64399fe33,08df3b0a-96a9-48bc-9c3b-5d38b3d21f75-80419,fede808b-fbf4-449c-8816-41aae5aa62ec,2024-12-23T08:37:00,shipment on hold - awaiting rest of shipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67d7c106380fe7c64399febd,08df3b0a-96a9-48bc-9c3b-5d38b3d21f75-89935,fede808b-fbf4-449c-8816-41aae5aa62ec,2024-12-23T08:37:00,shipment on hold - awaiting rest of shipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67d7c106380fe7c6439a0971,JD014600011817519867,a1630cac-f11e-45eb-ba58-de00a0c48748,2024-10-29T22:34:19,shipment on hold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67d7c109380fe7c6439d4332,1734398061,a1630cac-f11e-45eb-ba58-de00a0c48748,2024-12-30T12:17:57,shipment collected,2024-12-30T20:34:16,in transit,2024-12-30T20:34:58,in transit,2024-12-31T07:16:08,customs clearance in progress,2024-12-31T08:02:52,in transit,2024-12-31T21:51:02,in transit,2024-12-31T22:15:05,released by customs. clearance complete.,2025-01-01T10:20:39,released by customs. clearance complete.,2025-01-01T21:25:42,in transit,2025-01-01T22:25:50,shipment on hold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67d7c109380fe7c6439d4685,3891790197,5d0e294f-b483-4ba8-bd53-7f058427f35a,2025-01-11T05:07:00,in transit,2025-01-11T10:01:00,out for delivery,2025-01-11T14:58:00,delivery failed,2025-01-11T15:32:00,in transit,2025-01-11T15:32:00,in transit,2025-01-12T01:34:00,in transit,2025-01-12T01:34:00,in transit,2025-01-12T01:36:00,in transit,2025-01-12T01:36:00,in transit,2025-01-12T14:03:00,shipment on hold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67d7c109380fe7c6439d4b82,4068727342,a1630cac-f11e-45eb-ba58-de00a0c48748,2025-01-07T19:28:59,shipment collected,2025-01-07T22:07:59,in transit,2025-01-07T22:08:58,in transit,2025-01-09T05:30:58,in transit,2025-01-09T08:26:22,shipment on hold,2025-01-09T11:34:52,in transit,2025-01-09T13:15:58,in transit,2025-01-10T04:19:30,in transit,2025-01-10T04:30:32,shipment on hold,2025-01-10T20:58:54,shipment on hold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67d7c109380fe7c6439d4c8c,2108152653,a1630cac-f11e-45eb-ba58-de00a0c48748,2025-01-09T16:31:36,shipment collected,2025-01-09T21:03:24,in transit,2025-01-09T21:03:58,in transit,2025-01-10T06:26:12,in transit,2025-01-10T07:35:00,shipment on hold,2025-01-10T16:59:58,in transit,2025-01-10T23:19:42,customs clearance in progress,2025-01-10T23:21:43,customs clearance in progress,2025-01-10T23:33:46,customs clearance in progress,2025-01-11T06:33:33,shipment on hold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67d7c109380fe7c6439d5291,JD014600011914136184,a1630cac-f11e-45eb-ba58-de00a0c48748,2024-12-19T13:10:02,shipment collected,2024-12-19T17:42:46,in transit,2024-12-19T17:42:58,in transit,2024-12-20T10:59:40,in transit,2024-12-20T11:49:40,processed for clearance,2024-12-20T18:50:43,shipment on hold,2024-12-20T18:50:43,customs clearance in progress,2024-12-23T17:59:49,in transit,2024-12-23T17:59:56,released by customs. clearance complete.,2024-12-24T08:07:06,shipment on hold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67d7c109380fe7c6439d531c,ef4784ab-3fc6-4f88-847e-dc36384088d1-92852,fede808b-fbf4-449c-8816-41aae5aa62ec,2024-12-09T12:09:43,shipment manifested,2024-12-10T14:04:00,shipment collected,2024-12-10T17:26:00,in transit,2024-12-10T19:05:00,in transit,2024-12-10T19:19:00,warehouse scan,2024-12-10T20:44:00,released by customs. clearance complete.,2024-12-10T20:46:00,in transit,2024-12-10T23:25:00,in transit,2024-12-13T03:56:00,in transit,2024-12-17T20:39:00,shipment on hold - awaiting rest of shipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67d7c109380fe7c6439d533f,ef4784ab-3fc6-4f88-847e-dc36384088d1-44102,fede808b-fbf4-449c-8816-41aae5aa62ec,2024-12-09T12:09:43,shipment manifested,2024-12-10T14:04:00,shipment collected,2024-12-10T17:26:00,in transit,2024-12-10T19:05:00,in transit,2024-12-10T19:19:00,warehouse scan,2024-12-10T20:44:00,in transit,2024-12-10T20:44:00,released by customs. clearance complete.,2024-12-10T23:25:00,in transit,2024-12-13T03:56:00,in transit,2024-12-17T20:39:00,shipment on hold - awaiting rest of shipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
